,Cluster_numbers,CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
0,3,1,1,19,15,39
1,3,2,1,21,15,81
2,3,3,0,20,16,6
3,3,4,0,23,16,77
4,3,5,0,31,17,40
5,3,6,0,22,17,76
6,4,7,0,35,18,6
7,3,8,0,23,18,94
8,1,9,1,64,19,3
9,3,10,0,30,19,72
10,1,11,1,67,19,14
11,3,12,0,35,19,99
12,4,13,0,58,20,15
13,3,14,0,24,20,77
14,1,15,1,37,20,13
15,3,16,1,22,20,79
16,3,17,0,35,21,35
17,3,18,1,20,21,66
18,1,19,1,52,23,29
19,3,20,0,35,23,98
20,3,21,1,35,24,35
21,3,22,1,25,24,73
22,4,23,0,46,25,5
23,3,24,1,31,25,73
24,4,25,0,54,28,14
25,3,26,1,29,28,82
26,4,27,0,45,28,32
27,3,28,1,35,28,61
28,4,29,0,40,29,31
29,3,30,0,23,29,87
30,1,31,1,60,30,4
31,3,32,0,21,30,73
32,1,33,1,53,33,4
33,3,34,1,18,33,92
34,4,35,0,49,33,14
35,3,36,0,21,33,81
36,4,37,0,42,34,17
37,3,38,0,30,34,73
38,4,39,0,36,37,26
39,3,40,0,20,37,75
40,4,41,0,65,38,35
41,3,42,1,24,38,92
42,1,43,1,48,39,36
43,3,44,0,31,39,61
44,4,45,0,49,39,28
45,3,46,0,24,39,65
46,4,47,0,50,40,55
47,3,48,0,27,40,47
48,3,49,0,29,40,42
49,3,50,0,31,40,42
50,4,51,0,49,42,52
51,3,52,1,33,42,60
52,3,53,0,31,43,54
53,1,54,1,59,43,60
54,4,55,0,50,43,45
55,1,56,1,47,43,41
56,4,57,0,51,44,50
57,1,58,1,69,44,46
58,3,59,0,27,46,51
59,1,60,1,53,46,46
60,1,61,1,70,46,56
61,3,62,1,19,46,55
62,4,63,0,67,47,52
63,4,64,0,54,47,59
64,1,65,1,63,48,51
65,3,66,1,18,48,59
66,4,67,0,43,48,50
67,4,68,0,68,48,48
68,3,69,1,19,48,59
69,3,70,0,32,48,47
70,1,71,1,70,49,55
71,4,72,0,47,49,42
72,4,73,0,60,50,49
73,4,74,0,60,50,56
74,1,75,1,59,54,47
75,3,76,1,26,54,54
76,4,77,0,45,54,53
77,1,78,1,40,54,48
78,3,79,0,23,54,52
79,4,80,0,49,54,42
80,1,81,1,57,54,51
81,1,82,1,38,54,55
82,1,83,1,67,54,41
83,4,84,0,46,54,44
84,3,85,0,21,54,57
85,1,86,1,48,54,46
86,4,87,0,55,57,58
87,3,88,0,22,57,55
88,4,89,0,34,58,60
89,4,90,0,50,58,46
90,4,91,0,68,59,55
91,3,92,1,18,59,41
92,1,93,1,48,60,49
93,4,94,0,40,60,40
94,4,95,0,32,60,42
95,3,96,1,24,60,52
96,4,97,0,47,60,47
97,3,98,0,27,60,50
98,1,99,1,48,61,42
99,3,100,1,20,61,49
100,3,101,0,23,62,41
101,4,102,0,49,62,48
102,1,103,1,67,62,59
103,3,104,1,26,62,55
104,1,105,1,49,62,56
105,3,106,0,21,62,42
106,4,107,0,66,63,50
107,1,108,1,54,63,46
108,1,109,1,68,63,43
109,1,110,1,66,63,48
110,1,111,1,65,63,52
111,3,112,0,19,63,54
112,4,113,0,38,64,42
113,3,114,1,19,64,46
114,3,115,0,18,65,48
115,3,116,0,19,65,50
116,4,117,0,63,65,43
117,4,118,0,49,65,59
118,4,119,0,51,67,43
119,4,120,0,50,67,57
120,2,121,1,27,67,56
121,4,122,0,38,67,40
122,4,123,0,40,69,58
123,2,124,1,39,69,91
124,0,125,0,23,70,29
125,2,126,0,31,70,77
126,0,127,1,43,71,35
127,2,128,1,40,71,95
128,1,129,1,59,71,11
129,2,130,1,38,71,75
130,0,131,1,47,71,9
131,2,132,1,39,71,75
132,0,133,0,25,72,34
133,2,134,0,31,72,71
134,0,135,1,20,73,5
135,2,136,0,29,73,88
136,0,137,0,44,73,7
137,2,138,1,32,73,73
138,0,139,1,19,74,10
139,2,140,0,35,74,72
140,0,141,0,57,75,5
141,2,142,1,32,75,93
142,0,143,0,28,76,40
143,2,144,0,32,76,87
144,0,145,1,25,77,12
145,2,146,1,28,77,97
146,0,147,1,48,77,36
147,2,148,0,32,77,74
148,0,149,0,34,78,22
149,2,150,1,34,78,90
150,0,151,1,43,78,17
151,2,152,1,39,78,88
152,0,153,0,44,78,20
153,2,154,0,38,78,76
154,0,155,0,47,78,16
155,2,156,0,27,78,89
156,0,157,1,37,78,1
157,2,158,0,30,78,78
158,0,159,1,34,78,1
159,2,160,0,30,78,73
160,0,161,0,56,79,35
161,2,162,0,29,79,83
162,0,163,1,19,81,5
163,2,164,0,31,81,93
164,0,165,1,50,85,26
165,2,166,0,36,85,75
166,0,167,1,42,86,20
167,2,168,0,33,86,95
168,0,169,0,36,87,27
169,2,170,1,32,87,63
170,0,171,1,40,87,13
171,2,172,1,28,87,75
172,0,173,1,36,87,10
173,2,174,1,36,87,92
174,0,175,0,52,88,13
175,2,176,0,30,88,86
176,0,177,1,58,88,15
177,2,178,1,27,88,69
178,0,179,1,59,93,14
179,2,180,1,35,93,90
180,0,181,0,37,97,32
181,2,182,0,32,97,86
182,0,183,1,46,98,15
183,2,184,0,29,98,88
184,0,185,0,41,99,39
185,2,186,1,30,99,97
186,0,187,0,54,101,24
187,2,188,1,28,101,68
188,0,189,0,41,103,17
189,2,190,0,36,103,85
190,0,191,0,34,103,23
191,2,192,0,32,103,69
192,0,193,1,33,113,8
193,2,194,0,38,113,91
194,0,195,0,47,120,16
195,2,196,0,35,120,79
196,0,197,0,45,126,28
197,2,198,1,32,126,74
198,0,199,1,32,137,18
199,2,200,1,30,137,83
